Year,CountryCode,HostCity,HostCountry,HostCountryCode,Awarded.Gold,Awarded.Silver,Awarded.Bronze,Awarded.Total,Population,GDPpC,pre_host2,pre_host,Host,post_host,post_host2,gold_pre1,med_pre1,gold_pre2,med_pre2,gold_pre3,med_pre3,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,SAM,Barcelona,Spain,ESP,260,257,298,815,0.163997,765.867668311006,N,N,N,N,N,0,0,0,0,NA,NA,5,0,0,0,0
1992,SEN,Barcelona,Spain,ESP,260,257,298,815,7.789652824,2448.67199103301,N,N,N,N,N,0,1,0,0,0,0,22,0,0,0,0
1992,SEY,Barcelona,Spain,ESP,260,257,298,815,0.071500003,16106.1219675753,N,N,N,N,N,NA,NA,0,0,0,0,21,0,0,0,0
1992,SGP,Barcelona,Spain,ESP,260,257,298,815,3.096570015,21643.2136962354,N,N,N,N,N,0,0,0,0,NA,NA,35,0,0,0,0
1992,SLE,Barcelona,Spain,ESP,260,257,298,815,4.337238789,1467.0117516096,N,N,N,N,N,0,0,0,0,0,0,12,0,0,0,0
1992,SLO,Barcelona,Spain,ESP,260,257,298,815,2.007884026,16621.0168455217,N,N,N,N,N,NA,NA,NA,NA,NA,NA,40,0,0,2,2
1992,SMR,Barcelona,Spain,ESP,260,257,298,815,0.02446,NA,N,N,N,N,N,0,0,0,0,0,0,16,0,0,0,0
1992,SOL,Barcelona,Spain,ESP,260,257,298,815,0.32078,998.815387492986,N,N,N,N,N,0,0,0,0,NA,NA,1,0,0,0,0
1992,SRI,Barcelona,Spain,ESP,260,257,298,815,17.5396328,2926.83222535879,N,N,N,N,N,0,0,0,0,0,0,16,0,0,0,0
1992,SUD,Barcelona,Spain,ESP,260,257,298,815,20.89362526,1531.242876326,N,N,N,N,N,0,0,0,0,NA,NA,7,0,0,0,0
1992,SUI,Barcelona,Spain,ESP,260,257,298,815,6.74106884,37455.7372269766,N,N,N,N,N,0,4,0,8,2,2,141,1,0,0,1
1992,SUR,Barcelona,Spain,ESP,260,257,298,815,0.415215999,6454.69416268808,N,N,N,N,N,1,1,0,0,NA,NA,9,0,0,1,1
1992,SWE,Barcelona,Spain,ESP,260,257,298,815,8.625137329,26908.7961903685,N,N,N,N,N,0,11,2,19,3,12,164,1,7,4,12
1992,SWZ,Barcelona,Spain,ESP,260,257,298,815,0.885622978,5958.72423829545,N,N,N,N,N,0,0,0,0,NA,NA,10,0,0,0,0
1992,SYR,Barcelona,Spain,ESP,260,257,298,815,12.81521893,1079.28659085343,N,N,N,N,N,0,0,0,1,0,0,9,0,0,0,0
1992,TAN,Barcelona,Spain,ESP,260,257,298,815,25.61401367,1078.6716867556,N,N,N,N,N,0,0,0,0,0,2,9,0,0,0,0
1992,TCH,Barcelona,Spain,ESP,260,257,298,815,15.6,1902.5641025641,N,N,N,N,N,3,8,NA,NA,2,14,178,4,2,1,7
1992,TGA,Barcelona,Spain,ESP,260,257,298,815,0.095246,1387.98479726183,N,N,N,N,N,0,0,0,0,NA,NA,5,0,0,0,0
1992,THA,Barcelona,Spain,ESP,260,257,298,815,57.25839996,5336.30710102714,N,N,N,N,N,0,1,0,1,NA,NA,49,0,0,1,1
1992,TOG,Barcelona,Spain,ESP,260,257,298,815,3.882271051,1500.65267300163,N,N,N,N,N,0,0,0,0,NA,NA,6,0,0,0,0
1992,TPE,Barcelona,Spain,ESP,260,257,298,815,20.50356865,20619.2855847072,N,N,N,N,N,0,0,0,1,NA,NA,17,0,1,0,1
1992,TTO,Barcelona,Spain,ESP,260,257,298,815,1.229907036,10592.3322646965,N,N,N,N,N,0,0,0,0,0,0,10,0,0,0,0
