Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1996,CUB,CUB,108,9,8,8,25
2000,CUB,CUB,165,11,11,7,29
2004,CUB,CUB,130,9,7,11,27
2008,CUB,CUB,121,2,11,11,24
2012,CUB,CUB,106,5,3,6,14
2016,CUB,CUB,118,5,2,4,11
1980,CYP,CYP,13,0,0,0,0
1984,CYP,CYP,12,0,0,0,0
1988,CYP,CYP,10,0,0,0,0
1992,CYP,CYP,18,0,0,0,0
1996,CYP,CYP,20,0,0,0,0
2000,CYP,CYP,21,0,0,0,0
2004,CYP,CYP,21,0,0,0,0
2008,CYP,CYP,18,0,0,0,0
2012,CYP,CYP,13,0,1,0,1
2016,CYP,CYP,21,0,0,0,0
1996,CZE,CZE,141,4,3,4,11
2000,CZE,CZE,126,2,3,3,8
2004,CZE,CZE,135,1,3,5,9
2008,CZE,CZE,127,3,3,0,6
2012,CZE,CZE,124,4,3,3,10
2016,CZE,CZE,115,1,2,7,10
1976,DEN,DNK,51,1,0,2,3
1980,DEN,DNK,35,2,1,2,5
1984,DEN,DNK,42,0,3,3,6
1988,DEN,DNK,91,2,1,1,4
1992,DEN,DNK,86,1,1,4,6
1996,DEN,DNK,84,4,1,1,6
2000,DEN,DNK,77,2,3,1,6
2004,DEN,DNK,73,2,1,5,8
2008,DEN,DNK,75,3,2,5,10
2012,DEN,DNK,88,2,4,4,10
2016,DEN,DNK,83,2,6,8,16
1984,DJI,DJI,3,0,0,0,0
1988,DJI,DJI,6,0,0,1,1
1992,DJI,DJI,8,0,0,0,0
1996,DJI,DJI,5,0,0,0,0
2000,DJI,DJI,2,0,0,0,0
2008,DJI,DJI,2,0,0,0,0
2012,DJI,DJI,4,0,0,0,0
2016,DJI,DJI,8,0,0,0,0
1996,DMA,DMA,6,0,0,0,0
2000,DMA,DMA,4,0,0,0,0
2004,DMA,DMA,2,0,0,0,0
2008,DMA,DMA,2,0,0,0,0
2012,DMA,DMA,2,0,0,0,0
2016,DMA,DMA,2,0,0,0,0
1976,DOM,DOM,11,0,0,0,0
1980,DOM,DOM,7,0,0,0,0
1984,DOM,DOM,23,0,0,1,1
1988,DOM,DOM,17,0,0,0,0
1992,DOM,DOM,13,0,0,0,0
1996,DOM,DOM,16,0,0,0,0
2000,DOM,DOM,13,0,0,0,0
2004,DOM,DOM,22,1,0,0,1
2008,DOM,DOM,22,1,1,0,2
2012,DOM,DOM,22,1,1,0,2
2016,DOM,DOM,24,0,0,1,1
1976,ECU,ECU,8,0,0,0,0
1980,ECU,ECU,13,0,0,0,0
1984,ECU,ECU,15,0,0,0,0
1988,ECU,ECU,15,0,0,0,0
1992,ECU,ECU,15,0,0,0,0
1996,ECU,ECU,21,1,0,0,1
2000,ECU,ECU,11,0,0,0,0
2004,ECU,ECU,18,0,0,0,0
2008,ECU,ECU,26,0,1,0,1
2012,ECU,ECU,36,0,0,0,0
2016,ECU,ECU,40,0,0,0,0
1976,EGY,EGY,7,0,0,0,0
1984,EGY,EGY,95,0,1,0,1
1988,EGY,EGY,43,0,0,0,0
1992,EGY,EGY,37,0,0,0,0
1996,EGY,EGY,18,0,0,0,0
2000,EGY,EGY,71,0,0,0,0
2004,EGY,EGY,56,1,1,3,5
2008,EGY,EGY,76,0,0,1,1
2012,EGY,EGY,98,0,2,0,2
2016,EGY,EGY,98,0,0,3,3
2000,ERI,ERI,3,0,0,0,0
2004,ERI,ERI,5,0,0,1,1
2008,ERI,ERI,11,0,0,0,0
2012,ERI,ERI,12,0,0,0,0
2016,ERI,ERI,12,0,0,0,0
1984,ESA,SLV,15,0,0,0,0
1988,ESA,SLV,7,0,0,0,0
1992,ESA,SLV,6,0,0,0,0
1996,ESA,SLV,10,0,0,0,0
2000,ESA,SLV,10,0,0,0,0
2004,ESA,SLV,9,0,0,0,0
2008,ESA,SLV,14,0,0,0,0
2012,ESA,SLV,11,0,0,0,0
2016,ESA,SLV,10,0,0,0,0
1976,ESP,ESP,105,0,2,0,2
1980,ESP,ESP,118,1,3,2,6
1984,ESP,ESP,172,1,2,2,5
1988,ESP,ESP,208,1,1,2,4
1992,ESP,ESP,304,13,7,2,22
1996,ESP,ESP,248,5,6,6,17
2000,ESP,ESP,270,3,3,5,11
2004,ESP,ESP,261,4,11,6,21
2008,ESP,ESP,233,5,11,3,19
2012,ESP,ESP,204,3,10,4,17
2016,ESP,ESP,208,7,4,6,17
1992,EST,EST,38,1,0,1,2
1996,EST,EST,46,0,0,0,0
2000,EST,EST,36,1,0,2,3
2004,EST,EST,40,0,1,2,3
2008,EST,EST,47,1,1,0,2
2012,EST,EST,32,0,1,1,2
2016,EST,EST,43,0,0,1,1
1980,ETH,ETH,42,2,0,2,4
1992,ETH,ETH,21,1,0,2,3
1996,ETH,ETH,19,2,0,1,3
2000,ETH,ETH,27,4,1,3,8
2004,ETH,ETH,27,2,3,2,7
2008,ETH,ETH,29,4,1,2,7
2012,ETH,ETH,34,3,1,3,7
2016,ETH,ETH,38,1,2,5,8
1992,EUN,NA,421,45,38,29,112
1976,FIJ,FJI,5,0,0,0,0
1984,FIJ,FJI,25,0,0,0,0
1988,FIJ,FJI,39,0,0,0,0
1992,FIJ,FJI,34,0,0,0,0
1996,FIJ,FJI,14,0,0,0,0
2000,FIJ,FJI,9,0,0,0,0
2004,FIJ,FJI,9,0,0,0,0
2008,FIJ,FJI,6,0,0,0,0
2012,FIJ,FJI,9,0,0,0,0
2016,FIJ,FJI,14,1,0,0,1
1976,FIN,FIN,85,4,2,0,6
1980,FIN,FIN,96,3,1,4,8
1984,FIN,FIN,95,4,2,6,12
1988,FIN,FIN,88,1,1,2,4
1992,FIN,FIN,108,1,2,2,5
1996,FIN,FIN,89,1,2,1,4
2000,FIN,FIN,79,3,1,1,5
2004,FIN,FIN,64,0,2,0,2
2008,FIN,FIN,63,1,1,2,4
2012,FIN,FIN,66,0,1,2,3
2016,FIN,FIN,63,0,0,1,1
1976,FRA,FRA,215,2,3,4,9
1980,FRA,FRA,146,6,5,3,14
1984,FRA,FRA,239,5,7,16,28
1988,FRA,FRA,299,6,4,6,16
1992,FRA,FRA,333,8,5,16,29
1996,FRA,FRA,319,15,7,15,37
2000,FRA,FRA,317,13,14,11,38
2004,FRA,FRA,324,11,9,13,33
2008,FRA,FRA,329,7,16,18,41
2012,FRA,FRA,283,11,11,13,35
2016,FRA,FRA,305,10,18,14,42
1976,FRG,DEU,301,10,12,17,39
1984,FRG,DEU,343,17,19,23,59
1988,FRG,DEU,327,11,14,15,40
2000,FSM,FSM,5,0,0,0,0
2004,FSM,FSM,5,0,0,0,0
2008,FSM,FSM,5,0,0,0,0
2012,FSM,FSM,6,0,0,0,0
2016,FSM,FSM,5,0,0,0,0
1984,GAB,GAB,4,0,0,0,0
1988,GAB,GAB,2,0,0,0,0
1992,GAB,GAB,5,0,0,0,0
1996,GAB,GAB,6,0,0,0,0
2000,GAB,GAB,6,0,0,0,0
2004,GAB,GAB,5,0,0,0,0
2008,GAB,GAB,4,0,0,0,0
2012,GAB,GAB,7,0,1,0,1
2016,GAB,GAB,6,0,0,0,0
1984,GAM,GMB,10,0,0,0,0
1988,GAM,GMB,6,0,0,0,0
1992,GAM,GMB,5,0,0,0,0
1996,GAM,GMB,6,0,0,0,0
2000,GAM,GMB,2,0,0,0,0
2004,GAM,GMB,3,0,0,0,0
2008,GAM,GMB,3,0,0,0,0
2012,GAM,GMB,2,0,0,0,0
2016,GAM,GMB,4,0,0,0,0
1976,GBR,GBR,264,3,5,5,13
1980,GBR,GBR,243,5,7,9,21
1984,GBR,GBR,375,5,11,21,37
1988,GBR,GBR,334,5,10,9,24
1992,GBR,GBR,364,5,3,12,20
1996,GBR,GBR,267,1,8,6,15
2000,GBR,GBR,284,11,11,7,29
2004,GBR,GBR,250,9,9,13,31
2008,GBR,GBR,288,19,13,16,48
2012,GBR,GBR,383,29,17,19,65
2016,GBR,GBR,314,27,23,17,67
1996,GBS,GNB,3,0,0,0,0
