OlympicYear,ISOCode,Country,Population,GDPpC
2008,GHA,Ghana,22.70021248,3537.09898137482
2012,GHA,Ghana,25.12179565,4506.85619282155
2016,GHA,Ghana,27.58282089,4875.0378881208
1992,GIN,Guinea,6.37432909,3026.9827785123
1996,GIN,Guinea,7.871172905,2837.20273325644
2000,GIN,Guinea,8.653768539,2440.14242290332
2004,GIN,Guinea,9.309847832,1693.5533119893
2008,GIN,Guinea,10.09672737,1556.79562733405
2012,GIN,Guinea,11.0351696,1687.70096745953
2016,GIN,Guinea,12.09153271,1881.11297430382
1992,GMB,Gambia,0.949492991,2606.37892902571
1996,GMB,Gambia,1.066223025,2503.69734418369
2000,GMB,Gambia,1.195420027,2593.42213613425
2004,GMB,Gambia,1.354194045,2468.35965003819
2008,GMB,Gambia,1.539116025,2435.60866439553
2012,GMB,Gambia,1.746363044,2251.18161112438
2016,GMB,Gambia,1.977589965,2390.45624657587
1992,GNB,Guinea-Bissau,1.037155032,1437.6386875593
1996,GNB,Guinea-Bissau,1.137122035,1453.38782481689
2000,GNB,Guinea-Bissau,1.220793962,1603.57687204878
2004,GNB,Guinea-Bissau,1.32120204,1423.93302919817
2008,GNB,Guinea-Bissau,1.445958018,1345.19345498729
2012,GNB,Guinea-Bissau,1.596153975,1477.50925783961
2016,GNB,Guinea-Bissau,1.770526052,1515.24335322235
1992,GNQ,Equatorial Guinea,0.440623999,1786.14684353586
1996,GNQ,Equatorial Guinea,0.504871011,1556.560924826
2000,GNQ,Equatorial Guinea,0.589937985,6602.66409866793
2004,GNQ,Equatorial Guinea,0.694611013,11444.2080534649
2008,GNQ,Equatorial Guinea,0.829326987,21142.2257262201
2012,GNQ,Equatorial Guinea,0.994289994,34364.6206299849
2016,GNQ,Equatorial Guinea,1.175389051,19333.1947159681
1992,GRC,Greece,10.34189224,17190.0435601522
1996,GRC,Greece,10.78937531,18972.8373161949
2000,GRC,Greece,11.09026623,22682.5694877841
2004,GRC,Greece,11.24356747,26036.3509696625
2008,GRC,Greece,11.38089657,30585.6917035491
2012,GRC,Greece,11.42280483,25408.2927196437
2016,GRC,Greece,11.21780014,24684.134504468
1992,GRD,Grenada,0.096454002,4766.26286797307
1996,GRD,Grenada,0.100254998,5678.76998212099
2000,GRD,Grenada,0.101442002,7376.28578939126
2004,GRD,Grenada,0.102375001,8627.186151627
2008,GRD,Grenada,0.103586003,10534.4098178979
2012,GRD,Grenada,0.105075002,10857.7123415139
2016,GRD,Grenada,0.106822997,12230.8290320669
1992,GTM,Guatemala,9.483269691,3736.86877360789
1996,GTM,Guatemala,10.40848923,4215.44764474911
2000,GTM,Guatemala,11.38720322,4699.43538778787
2004,GTM,Guatemala,12.50047779,5083.34913572932
2008,GTM,Guatemala,13.70028591,5793.80529584875
2012,GTM,Guatemala,14.9489193,6589.41236976241
2016,GTM,Guatemala,16.25242805,7239.29043328391
1992,HKG,China Hong Kong SAR,5.85408783,25622.632416159
1996,HKG,China Hong Kong SAR,6.140100956,31325.7649635297
2000,HKG,China Hong Kong SAR,6.579564095,33348.6615726934
2004,HKG,China Hong Kong SAR,6.782570839,38520.0892997264
2008,HKG,China Hong Kong SAR,6.898396969,47759.3564824611
2012,HKG,China Hong Kong SAR,7.065814972,49544.7448577769
2016,HKG,China Hong Kong SAR,7.245700836,53753.2371009418
1992,HND,Honduras,5.09995079,2864.44859598341
1996,HND,Honduras,5.709051132,3052.0679719146
2000,HND,Honduras,6.357221127,2937.23099715609
